               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.082372,            0.042529,            0.013286,             0.57678,            0.071429,            0.050248,            0.011581,            0.088463,             0.04938,             0.01611,           0.0098317,           0.0098317,           0.0098317
                  36,             0.08258,            0.040588,            0.012397,            0.066294,             0.35883,            0.050533,            0.012968,            0.087581,            0.026106,            0.012254,           0.0098268,           0.0098268,           0.0098268
                  37,             0.08203,            0.041056,            0.012418,             0.61766,              0.1131,             0.10066,            0.022274,            0.084369,            0.026706,            0.012207,           0.0098218,           0.0098218,           0.0098218
                  38,            0.079319,            0.039603,            0.010784,            0.097819,             0.40956,            0.087127,            0.019409,            0.084371,            0.037073,            0.010952,           0.0098169,           0.0098169,           0.0098169
                  39,            0.080385,            0.041897,            0.010711,             0.20798,             0.28207,             0.13004,            0.032197,            0.081563,            0.032706,            0.011954,           0.0098119,           0.0098119,           0.0098119
                  40,            0.078456,            0.040911,            0.010755,             0.32781,             0.19794,             0.15078,            0.039041,            0.079977,            0.033875,            0.012213,            0.009807,            0.009807,            0.009807
                  41,            0.077884,            0.042531,           0.0094886,            0.083199,              0.3893,             0.07742,            0.020832,            0.082295,             0.04145,            0.013106,            0.009802,            0.009802,            0.009802
                  42,            0.076652,            0.041092,           0.0093017,             0.14727,             0.42733,              0.1423,            0.031674,            0.083267,            0.045524,            0.014983,            0.009797,            0.009797,            0.009797
                  43,            0.076836,            0.040861,           0.0094574,             0.22286,             0.39099,             0.19511,            0.045931,            0.082429,            0.030042,             0.01348,           0.0097921,           0.0097921,           0.0097921
                  44,            0.075762,            0.042591,           0.0096963,             0.19472,             0.44011,             0.22726,            0.052173,            0.080637,            0.034229,            0.013712,           0.0097871,           0.0097871,           0.0097871
                  45,             0.07553,            0.040558,           0.0093721,             0.22736,             0.38202,              0.1786,            0.048914,            0.079159,            0.037986,            0.011436,           0.0097822,           0.0097822,           0.0097822
                  46,            0.074147,            0.041379,           0.0083546,             0.22228,             0.21882,             0.14193,            0.041393,            0.082494,            0.040083,            0.012841,           0.0097773,           0.0097773,           0.0097773
                  47,            0.075349,             0.04297,           0.0079655,              0.1742,             0.24645,             0.12127,             0.04064,             0.08384,            0.046885,            0.015884,           0.0097723,           0.0097723,           0.0097723
                  48,            0.073928,            0.039529,           0.0084071,             0.23941,             0.22455,             0.12576,            0.033069,            0.085339,              0.0477,            0.017419,           0.0097674,           0.0097674,           0.0097674
                  49,             0.07226,            0.038863,           0.0079192,             0.30668,             0.23605,             0.17676,            0.044344,            0.079295,              0.0321,             0.01278,           0.0097624,           0.0097624,           0.0097624
                  50,            0.072721,            0.040877,           0.0074702,             0.22662,             0.22273,              0.1594,            0.049306,            0.077701,            0.024854,            0.016035,           0.0097575,           0.0097575,           0.0097575
                  51,            0.070766,            0.040413,           0.0071834,             0.29973,             0.23019,             0.16486,            0.049562,            0.077846,            0.025193,            0.012736,           0.0097525,           0.0097525,           0.0097525
